Country,Query,Status,Excluding.AMP,Difference.after.excluding.AMP,Match,Streamlined_Match,AMP.Cited,Concordance,ISO,Country.Name,WHO_Region
Central African Republic (CAR),2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CAF,Central African Republic,AFRO
Central African Republic (CAR),3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CAF,Central African Republic,AFRO
Central African Republic (CAR),4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CAF,Central African Republic,AFRO
Central African Republic (CAR),5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CAF,Central African Republic,AFRO
Central African Republic (CAR),6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CAF,Central African Republic,AFRO
Central African Republic (CAR),7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CAF,Central African Republic,AFRO
Central African Republic (CAR),8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CAF,Central African Republic,AFRO
Chad,1. What law allows the government to isolate?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,TCD,Chad,AFRO
Chad,2. What level of government isolates?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,TCD,Chad,AFRO
Chad,3. Isolation enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,TCD,Chad,AFRO
Chad,4. Does the law limit isolation to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,TCD,Chad,AFRO
Chad,5. Allow for to isolation of contacts?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,TCD,Chad,AFRO
Chad,6. What level of government quarantines?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,TCD,Chad,AFRO
Chad,7. Quarantine enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,TCD,Chad,AFRO
Chad,8. Does the law limit quarantine to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,TCD,Chad,AFRO
Chile,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CHL,Chile,AMRO
Chile,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CHL,Chile,AMRO
Chile,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,CHL,Chile,AMRO
Chile,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CHL,Chile,AMRO
Chile,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CHL,Chile,AMRO
Chile,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CHL,Chile,AMRO
Chile,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,CHL,Chile,AMRO
Chile,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CHL,Chile,AMRO
China (People's Republic of China; PRC),1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CHN,China,WPRO
China (People's Republic of China; PRC),2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CHN,China,WPRO
China (People's Republic of China; PRC),3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CHN,China,WPRO
China (People's Republic of China; PRC),4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CHN,China,WPRO
China (People's Republic of China; PRC),5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CHN,China,WPRO
China (People's Republic of China; PRC),6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CHN,China,WPRO
China (People's Republic of China; PRC),7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CHN,China,WPRO
China (People's Republic of China; PRC),8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CHN,China,WPRO
Chinese Taipei (Taiwan; Republic of China; ROC),1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,TWN,NA,NA
Chinese Taipei (Taiwan; Republic of China; ROC),2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,TWN,NA,NA
Chinese Taipei (Taiwan; Republic of China; ROC),3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Screenshot 2024-09-15 at 14.10.06.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/otU6gJ-fzkSFxk8ko9fA6g/skaKnCGho0Y6vrRXvEV5B_Ky4V_JA1w0ihFAEGdlbuziV2fSnC6pP07kHAY-JCEyjj_Ek4wrn7SGYmiQIZ27X0IrI0VKoXr_OVUWV2CceErDvykr2H9ZIOVY1NeAmEtNiJr9bAR8HmJbAGvNSEqhc6kptqSGvpznzwaTFj2Cy3F9tGZQSMTchftuQNnHFCrU/AktWgUCsiOxjg17PSV7KheI5s1RnuLo_FVx9jucr474),No major difference,Yes,Yes,checked,Yes,TWN,NA,NA
Chinese Taipei (Taiwan; Republic of China; ROC),4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Screenshot 2024-09-15 at 14.10.52.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/hoQMJs_xDIzM5EHhqfnDrQ/0k4z15T6vl33hbmSMa5Oj-KydWzHuzqdQ-7qIYiEy9JrddhNQs4ikwsklRVeADHi5P-zP09AbzrmSEXs0FIs7vvcMAmcRfU1HOHvzwg3QGEe5_TADtOSAp3bz0Tqhs4_URVKhj6j5NAybqI9WutR4cb82GbERjfhSBhd_wyQuIAdXXIf4T0PgWMU3mgh7LFP/hPQVEAP76gmVbKZNmc9qj3NNr-VU2wxbTrKf4sKNL2w),Major difference,Yes,Yes,checked,Yes,TWN,NA,NA
Chinese Taipei (Taiwan; Republic of China; ROC),5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Screenshot 2024-09-15 at 14.11.50.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/S9ugb1Ux6ZeMl9U2o1Gsyw/c7s2D4wpZOcLV6igY6nmQHbJltA_YqdujVNoELBQP1E0nQ-D_e4rxMydSsmglqyR-NCRXyBLORDCt1Whv1TPklPR0eNwCuOZr3D_FNvsj0165TbOTSSfJKglNca5Y-ufLEMfG_Sr_4gT71uau-3IyQz46FnjMrIbnQdkn2Zn0O7cr12NUwUPM67vpu7CqHZK/WDwG3ybf8UC6eiIcg-1nWKk0YG_Vt339chBNhyIPS6s),No major difference,Yes,Yes,checked,Yes,TWN,NA,NA
Chinese Taipei (Taiwan; Republic of China; ROC),6. What level of government quarantines?,Identified document(s) already in Airtable,Screenshot 2024-09-15 at 14.13.00.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/Yafhm57QDTdyDRX8rqtMcA/yfxpwpUFdNFmqApuVtPyBh8Iy28Or-GEJYPYnVQE081GPE3q_uBZpceJBsp9-rJap3xoUQjxewacGVUs9ZiNqws_Rfz-iESn7l4W0VluSjNW2ZMUHUTxSETFt_8VgexpAUbIvkj8MY_-g1WbgTU3krCAeP1-oAdhtQQ1jfWxbu3fkDMvR1YWnNg1PfXnDTD-/fFG7G9Oe_-TO0mKGl06FWRtI9LaFqSEXwC3UEsASeJQ),No major difference,Yes,Yes,checked,Yes,TWN,NA,NA
Chinese Taipei (Taiwan; Republic of China; ROC),7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,TWN,NA,NA
Chinese Taipei (Taiwan; Republic of China; ROC),8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,TWN,NA,NA
Colombia,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COL,Colombia,AMRO
Colombia,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COL,Colombia,AMRO
Colombia,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COL,Colombia,AMRO
Colombia,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COL,Colombia,AMRO
Colombia,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COL,Colombia,AMRO
Colombia,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COL,Colombia,AMRO
Colombia,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COL,Colombia,AMRO
Colombia,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COL,Colombia,AMRO
Comoros,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Screenshot 2024-09-15 at 14.14.28.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/P6UFacE2AlWBAD-svpXXQg/DaH00KSPQcGzWcfUpcytZzqL0khM06yeLNeitLbA6mGbGj6XbEQP5SHecDrmitNkSsNs0mL83Nif4skvJJ91y0B-BMLeDkKPhGSYK2mfsvLqKK-sxQ1i5hs9gQYnyHS_iIDLXUsQESreulagVR9Ei9Q5-mMkYyOArFV4HgKj_7xlnVnXxjzuxQdgdBl0A-i6/6R_BR70laYWtE944MhIVuwt1a7zb9lA1uoZbWtj45Do),Major difference,No - AI misses info found by human,No,checked,No: GAI Misses Information,COM,Comoros,AFRO
Comoros,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COM,Comoros,AFRO
Comoros,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Screenshot 2024-09-15 at 14.15.35.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/TDkabpNGa5Vl1zx-Y7y52g/ZTnJj0ofIisVw9_2rkXyWiqEgcSKDyoEU4BQdMOTz-3wY3NtGQYkdxLFhpsoRgWYdcBl_uLRkQUJMxhx6s9VLPidb0df4BpPkO4BaAQfTD7JvPshD_CcpgndedTEi50Y6nZWvN2oeFRZ8NEZntR8L3daWf44aM6uTl-_9IsKRLCFzEGG4J8uU8ID8cKvUwb0/9dT6fFJ_Rpf1w93PsLZrP9GzpACLpPTPhTmL7vK3ABY),Major difference,No - AI misses info found by human,No,checked,No: GAI Misses Information,COM,Comoros,AFRO
Comoros,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Screenshot 2024-09-15 at 14.16.15.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/V_fH6_ONPqy1rg3jQ3eEpw/F3bwuyWjunxb4-6I5_DTTBwlnDORWzzba7sEu_MbBPNpuJQN82gOIM66gF-6Zc1ACFO9RgNgD8fCtrPixtTO-k183q5LQdEAWde0eGWST5tnoOJlHVzypo4BgNxeLxTlW_jDiha6Mj0Ji6kMGzhulOysj6jdB58DB0aBBAKZK-LpGx-yfRwz3cTl1d1PKJ5l/XdNamHPHkDL0qh_9_C5aHXcSli7gM06mcXlIMbS7Y-c),Major difference,No - AI misses info found by human,No,checked,No: GAI Misses Information,COM,Comoros,AFRO
Comoros,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Screenshot 2024-09-15 at 14.16.50.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/S_1gFr2vfkAFfaGTf2AlJw/CcMYU0mAbQWGa2Pwa_M_aeXfQRJnXA_zGBTzolLQgO308emDLCUDYlgs24-klQoiVKoG3bIrDF3UguagwQTbCtEcYfmoidtakU8cTRpicuSTh5ubf12XVKHVfexDAzDBiHRQPJuOegW7ElZgu2vmTVW4a4IvN0OTwz6u9W7MOzJmgzi784ACv5gJLphtOYVF/aVug_tLeS8naZJYc5XehKzUB9TERUJOeE8kWU7pKhfk),Major difference,No - AI misses info found by human,No,checked,No: GAI Misses Information,COM,Comoros,AFRO
Comoros,6. What level of government quarantines?,Identified document(s) already in Airtable,Screenshot 2024-09-15 at 14.17.27.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/e5cSJ_6l1gmxcFbnYGkC_w/zFYVcpO2iUM14DdH2F9Y5kxAUEw3WC2YaveeqWSG4P3u00XlEjQHi5VTaisB62IVk4RF8T7JGbCoXmWxL6Dx81RXwvJHdjiY-3qWSSw8RwathTKO33hvw4WJKpGX7mkMHXK8sFlymjoYWpzWOA0oilUkqRKH3QjTwlr7pfp9m29aE9PsfPf8F77Lcb075zRi/PTxMgYbNzYkvdPvH6b1YDkmybLEtvr-X1HXpGA2v5Jg),Major difference,No - AI misses info found by human,No,checked,No: GAI Misses Information,COM,Comoros,AFRO
Comoros,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Screenshot 2024-09-15 at 14.18.11.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/ZW0vMFrtIaxWzlcfVrK-bg/KJOiunyYpoiw4luA7kHm3LWm2LvGWPHw7_tp0dyxjE_OZnjegl6kzYYECmn0eDNLOEEZCYOvTEzD6L0pNSwA_J0NZZ5-PYL8bwEgu53rAo_0uP4dtjUFi8RHdyn1hmzbx0SjVJ2rOzHkhWosYxTDn80rQ9_-QsxpZNNmC5SlRyZiZi4klgTZDRL57FOTSp-F/TSozqMIiwpp2yVRTvGdM7iX-qVkiO9tSTaRouMYZTUw),Major difference,No - AI misses info found by human,No,checked,No: GAI Misses Information,COM,Comoros,AFRO
Comoros,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Screenshot 2024-09-15 at 14.22.57.png (https://v5.airtableusercontent.com/v3/u/33/33/1727200800000/RPxIbs8yfnxXMKLel54tGg/tTy1QPUuURVKkMYOL54ZLZU85zQZ4sJxXQJD9mlicZusWBqVj25of7pUcaflEjAWYIuX9dxslH_dGAEUeIpV_u3PbgXwLgXjNi7jHWnsFnc0fiws_TLfZwWAyqQ5ru-EQACiN_5Sghz-R1HUHFE83J_5rzcswu9XFcaN9iZMjO1IycAjKiQdY5FIrEfC6cls/KHY4cvKgfX1LA1DOGlVZw1e_WsBT98xYFI9zFb54uvM),No major difference,No - AI misses info found by human,No,checked,No: GAI Misses Information,COM,Comoros,AFRO
Congo (Republic of the Congo),1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COG,Congo,AFRO
Congo (Republic of the Congo),2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COG,Congo,AFRO
Congo (Republic of the Congo),3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COG,Congo,AFRO
Congo (Republic of the Congo),4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COG,Congo,AFRO
Congo (Republic of the Congo),5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COG,Congo,AFRO
Congo (Republic of the Congo),6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COG,Congo,AFRO
Congo (Republic of the Congo),7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COG,Congo,AFRO
Congo (Republic of the Congo),8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COG,Congo,AFRO
Cook Islands,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COK,Cook Islands,WPRO
Cook Islands,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COK,Cook Islands,WPRO
Cook Islands,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COK,Cook Islands,WPRO
Cook Islands,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COK,Cook Islands,WPRO
Cook Islands,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COK,Cook Islands,WPRO
Cook Islands,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COK,Cook Islands,WPRO
Cook Islands,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COK,Cook Islands,WPRO
Cook Islands,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,COK,Cook Islands,WPRO
Costa Rica,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,AI info was not relevant,No,,No: GAI Misses Information,CRI,Costa Rica,AMRO
Costa Rica,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CRI,Costa Rica,AMRO
Costa Rica,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CRI,Costa Rica,AMRO
Costa Rica,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,No - AI misses info found by human,No,,No: GAI Misses Information,CRI,Costa Rica,AMRO
Costa Rica,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CRI,Costa Rica,AMRO
Costa Rica,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CRI,Costa Rica,AMRO
Costa Rica,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CRI,Costa Rica,AMRO
Costa Rica,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CRI,Costa Rica,AMRO
Côte d'Ivoire (Ivory Coast),1. What law allows the government to isolate?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CIV,Cote d'Ivoire,AFRO
Côte d'Ivoire (Ivory Coast),2. What level of government isolates?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CIV,Cote d'Ivoire,AFRO
Côte d'Ivoire (Ivory Coast),3. Isolation enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CIV,Cote d'Ivoire,AFRO
Côte d'Ivoire (Ivory Coast),4. Does the law limit isolation to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CIV,Cote d'Ivoire,AFRO
Côte d'Ivoire (Ivory Coast),5. Allow for to isolation of contacts?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CIV,Cote d'Ivoire,AFRO
Côte d'Ivoire (Ivory Coast),6. What level of government quarantines?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CIV,Cote d'Ivoire,AFRO
Côte d'Ivoire (Ivory Coast),7. Quarantine enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CIV,Cote d'Ivoire,AFRO
Côte d'Ivoire (Ivory Coast),8. Does the law limit quarantine to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CIV,Cote d'Ivoire,AFRO
Croatia,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,HRV,Croatia,EURO
Croatia,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,HRV,Croatia,EURO
Croatia,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,HRV,Croatia,EURO
Croatia,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,No - AI misses info found by human,No,,No: GAI Misses Information,HRV,Croatia,EURO
Croatia,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,HRV,Croatia,EURO
Croatia,6. What level of government quarantines?,Identified document(s) already in Airtable,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,HRV,Croatia,EURO
Croatia,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,HRV,Croatia,EURO
Croatia,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,HRV,Croatia,EURO
Cuba,1. What law allows the government to isolate?,No relevant documents identified,,,No - AI provides wrong info,No,,No: GAI Provides Incorrect Information,CUB,Cuba,AMRO
Cuba,2. What level of government isolates?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CUB,Cuba,AMRO
Cuba,3. Isolation enforcement mechanisms?,No relevant documents identified,,,No - Both AI misses info found by human and human misses info found by AI,AI finds something missed or incorrectly interpreted by SME,,No: GAI Misses Information,CUB,Cuba,AMRO
Cuba,4. Does the law limit isolation to a list?,New document identified - suggest including,,,No - AI provides additional info missed by human,AI finds something missed or incorrectly interpreted by SME,,No: GAI Provides More Information,CUB,Cuba,AMRO
Cuba,5. Allow for to isolation of contacts?,New document identified - suggest including,,,No - Both AI misses info found by human and human misses info found by AI,AI finds something missed or incorrectly interpreted by SME,,No: GAI Misses Information,CUB,Cuba,AMRO
Cuba,6. What level of government quarantines?,New document identified - suggest excluding,,,No - Both AI misses info found by human and human misses info found by AI,AI finds something missed or incorrectly interpreted by SME,,No: GAI Misses Information,CUB,Cuba,AMRO
Cuba,7. Quarantine enforcement mechanisms?,No relevant documents identified,,,No - Both AI misses info found by human and human misses info found by AI,AI finds something missed or incorrectly interpreted by SME,,No: GAI Misses Information,CUB,Cuba,AMRO
Cuba,8. Does the law limit quarantine to a list?,New document identified - suggest excluding,,,No - AI misses info found by human,No,,No: GAI Misses Information,CUB,Cuba,AMRO
Cyprus,1. What law allows the government to isolate?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CYP,Cyprus,EURO
Cyprus,2. What level of government isolates?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CYP,Cyprus,EURO
Cyprus,3. Isolation enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CYP,Cyprus,EURO
Cyprus,4. Does the law limit isolation to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CYP,Cyprus,EURO
Cyprus,5. Allow for to isolation of contacts?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CYP,Cyprus,EURO
Cyprus,6. What level of government quarantines?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CYP,Cyprus,EURO
Cyprus,7. Quarantine enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CYP,Cyprus,EURO
Cyprus,8. Does the law limit quarantine to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,CYP,Cyprus,EURO
Czechia (Czech Republic),1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CZE,Czechia,EURO
Czechia (Czech Republic),2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CZE,Czechia,EURO
Czechia (Czech Republic),3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CZE,Czechia,EURO
Czechia (Czech Republic),4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CZE,Czechia,EURO
Czechia (Czech Republic),5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CZE,Czechia,EURO
Czechia (Czech Republic),6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CZE,Czechia,EURO
Czechia (Czech Republic),7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CZE,Czechia,EURO
Czechia (Czech Republic),8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,CZE,Czechia,EURO
Democratic Republic of the Congo (DRC),1. What law allows the government to isolate?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,COD,Democratic Republic of the Congo,AFRO
Democratic Republic of the Congo (DRC),2. What level of government isolates?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,COD,Democratic Republic of the Congo,AFRO
Democratic Republic of the Congo (DRC),3. Isolation enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,COD,Democratic Republic of the Congo,AFRO
Democratic Republic of the Congo (DRC),4. Does the law limit isolation to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,COD,Democratic Republic of the Congo,AFRO
Democratic Republic of the Congo (DRC),5. Allow for to isolation of contacts?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,COD,Democratic Republic of the Congo,AFRO
Democratic Republic of the Congo (DRC),6. What level of government quarantines?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,COD,Democratic Republic of the Congo,AFRO
Democratic Republic of the Congo (DRC),7. Quarantine enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,COD,Democratic Republic of the Congo,AFRO
Democratic Republic of the Congo (DRC),8. Does the law limit quarantine to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,COD,Democratic Republic of the Congo,AFRO
Denmark,1. What law allows the government to isolate?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,DNK,Denmark,EURO
Denmark,2. What level of government isolates?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,DNK,Denmark,EURO
Denmark,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,DNK,Denmark,EURO
Denmark,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,,,No - AI misses info found by human,No,,No: GAI Misses Information,DNK,Denmark,EURO
Denmark,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,DNK,Denmark,EURO
Denmark,6. What level of government quarantines?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,DNK,Denmark,EURO
Denmark,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,,,Yes,Yes,,Yes,DNK,Denmark,EURO
Denmark,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,,No - AI misses info found by human,No,,No: GAI Misses Information,DNK,Denmark,EURO
Djibouti,1. What law allows the government to isolate?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,DJI,Djibouti,EMRO
Djibouti,2. What level of government isolates?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,DJI,Djibouti,EMRO
Djibouti,3. Isolation enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,DJI,Djibouti,EMRO
Djibouti,4. Does the law limit isolation to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,DJI,Djibouti,EMRO
Djibouti,5. Allow for to isolation of contacts?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,DJI,Djibouti,EMRO
Djibouti,6. What level of government quarantines?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,DJI,Djibouti,EMRO
Djibouti,7. Quarantine enforcement mechanisms?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,DJI,Djibouti,EMRO
Djibouti,8. Does the law limit quarantine to a list?,No relevant documents identified,,,No - AI misses info found by human,No,,No: GAI Misses Information,DJI,Djibouti,EMRO
