Country,Query,Status,Match,AMP Cited
Cook Islands,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Cook Islands,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Cook Islands,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Cook Islands,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Cook Islands,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Cook Islands,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Costa Rica,1. What law allows the government to isolate?,Identified document(s) already in Airtable,AI info was not relevant,
Costa Rica,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Costa Rica,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Costa Rica,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Costa Rica,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Costa Rica,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Costa Rica,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Costa Rica,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Côte d'Ivoire (Ivory Coast),1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Côte d'Ivoire (Ivory Coast),2. What level of government isolates?,No relevant documents identified,No - AI misses info found by human,
Côte d'Ivoire (Ivory Coast),3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Côte d'Ivoire (Ivory Coast),4. Does the law limit isolation to a list?,No relevant documents identified,No - AI misses info found by human,
Côte d'Ivoire (Ivory Coast),5. Allow for to isolation of contacts?,No relevant documents identified,No - AI misses info found by human,
Côte d'Ivoire (Ivory Coast),6. What level of government quarantines?,No relevant documents identified,No - AI misses info found by human,
Côte d'Ivoire (Ivory Coast),7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Côte d'Ivoire (Ivory Coast),8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI misses info found by human,
Croatia,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Croatia,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Croatia,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,No - AI provides additional info missed by human,
Croatia,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Croatia,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,No - AI provides additional info missed by human,
Croatia,6. What level of government quarantines?,Identified document(s) already in Airtable,No - AI provides additional info missed by human,
Croatia,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,No - AI provides additional info missed by human,
Croatia,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,No - AI provides wrong info,
Cuba,1. What law allows the government to isolate?,No relevant documents identified,No - AI provides wrong info,
Cuba,2. What level of government isolates?,No relevant documents identified,No - AI misses info found by human,
Cuba,3. Isolation enforcement mechanisms?,No relevant documents identified,No - Both AI misses info found by human and human misses info found by AI,
Cuba,4. Does the law limit isolation to a list?,New document identified - suggest including,No - AI provides additional info missed by human,
Cuba,5. Allow for to isolation of contacts?,New document identified - suggest including,No - Both AI misses info found by human and human misses info found by AI,
Cuba,6. What level of government quarantines?,New document identified - suggest excluding,No - Both AI misses info found by human and human misses info found by AI,
Cuba,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - Both AI misses info found by human and human misses info found by AI,
Cuba,8. Does the law limit quarantine to a list?,New document identified - suggest excluding,No - AI misses info found by human,
Cyprus,1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Cyprus,2. What level of government isolates?,No relevant documents identified,No - AI misses info found by human,
Cyprus,3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Cyprus,4. Does the law limit isolation to a list?,No relevant documents identified,No - AI misses info found by human,
Cyprus,5. Allow for to isolation of contacts?,No relevant documents identified,No - AI misses info found by human,
Cyprus,6. What level of government quarantines?,No relevant documents identified,No - AI misses info found by human,
Cyprus,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Cyprus,8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI misses info found by human,
Czechia (Czech Republic),1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Czechia (Czech Republic),2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Czechia (Czech Republic),3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Czechia (Czech Republic),4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Czechia (Czech Republic),5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Czechia (Czech Republic),6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Czechia (Czech Republic),7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Czechia (Czech Republic),8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Democratic Republic of the Congo (DRC),1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Democratic Republic of the Congo (DRC),2. What level of government isolates?,No relevant documents identified,No - AI misses info found by human,
Democratic Republic of the Congo (DRC),3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Democratic Republic of the Congo (DRC),4. Does the law limit isolation to a list?,No relevant documents identified,No - AI misses info found by human,
Democratic Republic of the Congo (DRC),5. Allow for to isolation of contacts?,No relevant documents identified,No - AI misses info found by human,
Democratic Republic of the Congo (DRC),6. What level of government quarantines?,No relevant documents identified,No - AI misses info found by human,
Democratic Republic of the Congo (DRC),7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Democratic Republic of the Congo (DRC),8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI misses info found by human,
Denmark,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Denmark,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Denmark,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Denmark,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Denmark,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Denmark,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Denmark,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Denmark,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Djibouti,1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Djibouti,2. What level of government isolates?,No relevant documents identified,No - AI misses info found by human,
Djibouti,3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Djibouti,4. Does the law limit isolation to a list?,No relevant documents identified,No - AI misses info found by human,
Djibouti,5. Allow for to isolation of contacts?,No relevant documents identified,No - AI misses info found by human,
Djibouti,6. What level of government quarantines?,No relevant documents identified,No - AI misses info found by human,
Djibouti,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Djibouti,8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI misses info found by human,
Dominica,1. What law allows the government to isolate?,Identified document(s) already in Airtable,No - AI misses info found by human,
Dominica,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Dominica,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Dominica,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,checked
Dominica,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,checked
Dominica,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,checked
Dominica,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Dominica,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Dominican Republic,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Dominican Republic,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Dominican Republic,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Dominican Republic,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Dominican Republic,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Dominican Republic,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Dominican Republic,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Dominican Republic,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Ecuador,1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Ecuador,2. What level of government isolates?,No relevant documents identified,"Exact match in answer, but no law found",
Ecuador,3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI provides wrong info,
Ecuador,4. Does the law limit isolation to a list?,No relevant documents identified,"Exact match in answer, but no law found",
Ecuador,5. Allow for to isolation of contacts?,No relevant documents identified,No - AI misses info found by human,
Ecuador,6. What level of government quarantines?,No relevant documents identified,"Exact match in answer, but no law found",
Ecuador,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI provides wrong info,
Ecuador,8. Does the law limit quarantine to a list?,No relevant documents identified,"Exact match in answer, but no law found",
Egypt,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Egypt,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Egypt,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Egypt,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI provides wrong info,
Egypt,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Egypt,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Egypt,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Egypt,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,No - AI provides wrong info,
El Salvador,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
El Salvador,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
El Salvador,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
El Salvador,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
El Salvador,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
El Salvador,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
El Salvador,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
El Salvador,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Equatorial Guinea,1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Equatorial Guinea,2. What level of government isolates?,New document identified - suggest excluding,No - AI misses info found by human,
Equatorial Guinea,3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Equatorial Guinea,4. Does the law limit isolation to a list?,No relevant documents identified,No - AI misses info found by human,
Equatorial Guinea,5. Allow for to isolation of contacts?,No relevant documents identified,"Exact match in answer, but no law found",
Equatorial Guinea,6. What level of government quarantines?,No relevant documents identified,"Exact match in answer, but no law found",
Equatorial Guinea,7. Quarantine enforcement mechanisms?,No relevant documents identified,"Exact match in answer, but no law found",
Equatorial Guinea,8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI misses info found by human,
Eritrea,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Eritrea,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Eritrea,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Eritrea,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Eritrea,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Eritrea,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Eritrea,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Eritrea,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Estonia,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Estonia,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Estonia,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,No - AI misses info found by human,
Estonia,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Estonia,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Estonia,6. What level of government quarantines?,Identified document(s) already in Airtable,No - AI provides wrong info,
Estonia,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Estonia,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Eswatini (Swaziland),1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Eswatini (Swaziland),2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Eswatini (Swaziland),3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Eswatini (Swaziland),4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Eswatini (Swaziland),5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Eswatini (Swaziland),6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Eswatini (Swaziland),7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Eswatini (Swaziland),8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Ethiopia,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Ethiopia,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Ethiopia,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Ethiopia,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Ethiopia,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Ethiopia,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Ethiopia,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Ethiopia,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Fiji,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Fiji,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,checked
Fiji,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Fiji,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,checked
Fiji,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Fiji,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Fiji,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Fiji,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Finland,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Finland,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Finland,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Finland,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,checked
Finland,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,checked
Finland,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,checked
Finland,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,checked
Finland,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
France,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
France,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
France,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
France,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
France,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
France,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
France,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
France,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Gabon,1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Gabon,2. What level of government isolates?,No relevant documents identified,No - AI provides wrong info,
Gabon,3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI provides wrong info,
Gabon,4. Does the law limit isolation to a list?,No relevant documents identified,No - AI provides wrong info,
Gabon,5. Allow for to isolation of contacts?,No relevant documents identified,No - AI provides wrong info,
Gabon,6. What level of government quarantines?,No relevant documents identified,No - AI provides wrong info,
Gabon,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI provides wrong info,
Gabon,8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI misses info found by human,
Gambia (Republic of The),1. What law allows the government to isolate?,New document identified - suggest including,No - AI provides wrong info,
Gambia (Republic of The),2. What level of government isolates?,New document identified - suggest including,No - AI provides wrong info,
Gambia (Republic of The),3. Isolation enforcement mechanisms?,New document identified - suggest including,No - AI provides wrong info,
Gambia (Republic of The),4. Does the law limit isolation to a list?,New document identified - suggest including,No - AI provides wrong info,
Gambia (Republic of The),5. Allow for to isolation of contacts?,New document identified - suggest including,No - AI provides wrong info,
Gambia (Republic of The),6. What level of government quarantines?,New document identified - suggest including,,
Gambia (Republic of The),7. Quarantine enforcement mechanisms?,New document identified - suggest including,,
Gambia (Republic of The),8. Does the law limit quarantine to a list?,New document identified - suggest including,,
Georgia,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Georgia,2. What level of government isolates?,Identified document(s) already in Airtable,No - AI misses info found by human,
Georgia,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Georgia,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Georgia,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Georgia,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Georgia,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Georgia,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Germany,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Germany,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Germany,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Germany,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Germany,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Germany,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Germany,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Germany,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Ghana,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Ghana,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Ghana,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Ghana,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Ghana,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Ghana,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Ghana,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Ghana,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Greece,1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Greece,2. What level of government isolates?,No relevant documents identified,No - AI misses info found by human,
Greece,3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Greece,4. Does the law limit isolation to a list?,No relevant documents identified,"Exact match in answer, but no law found",
Greece,5. Allow for to isolation of contacts?,No relevant documents identified,No - AI misses info found by human,
Greece,6. What level of government quarantines?,No relevant documents identified,No - AI misses info found by human,
Greece,7. Quarantine enforcement mechanisms?,New document identified - suggest including,No - AI provides wrong info,
Greece,8. Does the law limit quarantine to a list?,No relevant documents identified,"Exact match in answer, but no law found",
Grenada,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Grenada,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Grenada,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Grenada,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,No - AI misses info found by human,
Grenada,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Grenada,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Grenada,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Grenada,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Guatemala,1. What law allows the government to isolate?,No relevant documents identified,No - AI provides wrong info,
Guatemala,2. What level of government isolates?,No relevant documents identified,No - AI provides wrong info,
Guatemala,3. Isolation enforcement mechanisms?,No relevant documents identified,No - AI provides wrong info,
Guatemala,4. Does the law limit isolation to a list?,No relevant documents identified,No - AI provides wrong info,
Guatemala,5. Allow for to isolation of contacts?,No relevant documents identified,No - AI provides wrong info,
Guatemala,6. What level of government quarantines?,No relevant documents identified,No - AI provides wrong info,
Guatemala,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI provides wrong info,
Guatemala,8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI provides wrong info,
Guinea,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Guinea,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Guinea,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Guinea,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Guinea,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Guinea,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Guinea,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Guinea,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Guinea Bissau,1. What law allows the government to isolate?,No relevant documents identified,No - human relying on out of date COVID law,
Guinea Bissau,2. What level of government isolates?,No relevant documents identified,No - human relying on out of date COVID law,
Guinea Bissau,3. Isolation enforcement mechanisms?,No relevant documents identified,No - human relying on out of date COVID law,
Guinea Bissau,4. Does the law limit isolation to a list?,No relevant documents identified,No - human relying on out of date COVID law,
Guinea Bissau,5. Allow for to isolation of contacts?,No relevant documents identified,No - human relying on out of date COVID law,
Guinea Bissau,6. What level of government quarantines?,No relevant documents identified,No - human relying on out of date COVID law,
Guinea Bissau,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - human relying on out of date COVID law,
Guinea Bissau,8. Does the law limit quarantine to a list?,No relevant documents identified,No - human relying on out of date COVID law,
Guyana,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Guyana,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Guyana,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Guyana,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Guyana,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Guyana,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Guyana,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Guyana,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Haiti,1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Haiti,2. What level of government isolates?,No relevant documents identified,No - AI misses info found by human,
Haiti,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Haiti,4. Does the law limit isolation to a list?,No relevant documents identified,No - AI misses info found by human,
Haiti,5. Allow for to isolation of contacts?,No relevant documents identified,No - AI provides wrong info,
Haiti,6. What level of government quarantines?,No relevant documents identified,No - AI misses info found by human,
Haiti,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI misses info found by human,
Haiti,8. Does the law limit quarantine to a list?,No relevant documents identified,No - AI misses info found by human,
Holy See (Vatican City),1. What law allows the government to isolate?,Identified document(s) already in Airtable,,
Holy See (Vatican City),2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Holy See (Vatican City),3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Holy See (Vatican City),4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Holy See (Vatican City),5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Holy See (Vatican City),6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Holy See (Vatican City),7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Holy See (Vatican City),8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Honduras,1. What law allows the government to isolate?,No relevant documents identified,No - AI misses info found by human,
Honduras,2. What level of government isolates?,No relevant documents identified,"Exact match in answer, but no law found",
Honduras,3. Isolation enforcement mechanisms?,No relevant documents identified,"AI provides correct info, human was entirely wrong",
Honduras,4. Does the law limit isolation to a list?,No relevant documents identified,Yes,
Honduras,5. Allow for to isolation of contacts?,No relevant documents identified,Yes,
Honduras,6. What level of government quarantines?,No relevant documents identified,Yes,
Honduras,7. Quarantine enforcement mechanisms?,No relevant documents identified,No - AI provides wrong info,
Honduras,8. Does the law limit quarantine to a list?,No relevant documents identified,Yes,
Hungary,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
Hungary,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Hungary,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,,
Hungary,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Hungary,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Hungary,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Hungary,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Hungary,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,,
Iceland,1. What law allows the government to isolate?,Identified document(s) already in Airtable,No - AI misses info found by human,
Iceland,2. What level of government isolates?,Identified document(s) already in Airtable,Yes,
Iceland,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Iceland,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
Iceland,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
Iceland,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
Iceland,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,Yes,
Iceland,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
India,1. What law allows the government to isolate?,Identified document(s) already in Airtable,Yes,
India,2. What level of government isolates?,Identified document(s) already in Airtable,No - AI provides wrong info,
India,3. Isolation enforcement mechanisms?,Identified document(s) already in Airtable,"AI provides correct info, human was entirely wrong",
India,4. Does the law limit isolation to a list?,Identified document(s) already in Airtable,Yes,
India,5. Allow for to isolation of contacts?,Identified document(s) already in Airtable,Yes,
India,6. What level of government quarantines?,Identified document(s) already in Airtable,Yes,
India,7. Quarantine enforcement mechanisms?,Identified document(s) already in Airtable,"AI provides correct info, human was entirely wrong",
India,8. Does the law limit quarantine to a list?,Identified document(s) already in Airtable,Yes,
Indonesia,1. What law allows the government to isolate?,New document identified - suggest excluding,No - AI provides wrong info,
Indonesia,2. What level of government isolates?,New document identified - suggest excluding,No - AI provides wrong info,
Indonesia,3. Isolation enforcement mechanisms?,New document identified - suggest excluding,No - AI provides wrong info,
Indonesia,4. Does the law limit isolation to a list?,New document identified - suggest excluding,No - AI provides wrong info,
Indonesia,5. Allow for to isolation of contacts?,New document identified - suggest excluding,No - AI provides wrong info,
Indonesia,6. What level of government quarantines?,New document identified - suggest excluding,No - AI provides wrong info,
Indonesia,7. Quarantine enforcement mechanisms?,New document identified - suggest excluding,No - AI provides wrong info,
Indonesia,8. Does the law limit quarantine to a list?,New document identified - suggest excluding,No - AI provides wrong info,
Iran (Islamic Republic of),1. What law allows the government to isolate?,New document identified - suggest including,No - Both AI misses info found by human and human misses info found by AI,
Iran (Islamic Republic of),2. What level of government isolates?,New document identified - suggest including,No - Both AI misses info found by human and human misses info found by AI,
