Citation,Parent Statute,Source,Chapter,Document Type,File,url (from File),PDF (from File),Date Last Updated (from File),Date Originally Published (from File),Entity Empowered,Triggering Event,Describe Health Emergency,Location,Military Involvement (Federal),Preliminary Screening,Funding Stream Description,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Funding Stream?,Waiver Authority,Plans & Strategies,State Trigger,Document Description,Note,Powers Invoked
",Footnotes",,,,,,,,,,,,,,,,,,,,,,,,,
",Mission Assignment/Response Coordination",,,,,,,,,,,,,,,,,,,,,,,,,
42 U.S.C. § 5197(d),Administrative authority,FEMA DOLR,2,Legislation,Administrative authority,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap68-subchapIV-B-partB-sec5197.pdf,USCODE-2022-title42-chap68-subchapIV-B-partB-sec5197.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/UbbeHn29WIjny0gVpD0MCQ/sA8dVZ044ieKgwqdzhRL68rF94DIo_zsi6yocRavVxXbDRbyrCFNJBXDQ0YcHIuUyQOmgR78eH3p38rQbFQ3RJJew1QTTv6DntRv-4I2lHpU2dWiGQ_xCCpX3dzE9UVCGreEczEHgKPkP6LVwVGDEA/ku335_qjs8EBet4jeeRfQ5-wWYLhIiV-gAZr1gwocHk),,11/23/88,"Federal Emergency Management Agency,Department of Homeland Security","Natural Disaster,Presidential Emergency Declarations",N/A,Domestic,Unclear,Include,,,,,,,Yes,"Authorizes the President to delegate any authority vested in him by Title VI of the Stafford Act to federal agencies, with certain exceptions. This provision allows for efficient administration of emergency preparedness functions by enabling the President to assign specific responsibilities to appropriate federal agencies.",Footnotes,
",Mission Assignment/Response Coordination","Response Leadership""",,,,,,,,,,,,,,,,,,,,,,,,
Homeland Security Presidential Directive 5,,FEMA DOLR,4,Executive Order,Homeland Security Presidential Directive 5,https://www.govinfo.gov/content/pkg/PPP-2003-book1/pdf/PPP-2003-book1-doc-pg229.pdf,PPP-2003-book1-doc-pg229.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/uy1ulSfPA_2k8xSnQhFvjg/r2dxSyih_YxgBFx7RflYEKOS6BT1K6HuxBbgKYXW9S1lyTSpY4FRvfNoE1vCSEh6ufjwCGnSEpcGc0PjLZI2MVF4sOkb8Dc1gVFmRdcHGZ0sfg0dxtqQqcmiLJLlWDn6-_onjSuRqykkYLkuHhwUN1GW_hGiiFR2Xai5iABTJG_1QwpIq47O5Vp_L1gOSZCW/tlGUTAi4vEoDvBc0Jbu5YMiAXZd7ChwJZGN1GlmqYJY),,2/28/03,"Federal Emergency Management Agency,Department of Homeland Security","Natural Disaster,Act of War,No triggering event - Capacity Building,Health Emergency",The national incident management system established by this act may be used in the event of a public health emergency to coordinate a comprehensive response between agencies.,Domestic,Yes - Subject to Posse Comitatus,Include,,,,,,,No,This directive was issued to improve response to domestic incidents by establishing a management system. The main actor is the DHS. It acts to ensure effective response to various types of emergencies in the US.,,
",,Mission Assignment/Response Coordination",Response Leadership,"Strategies and General Preparedness Efforts""",,,,,,,,,,,,,,,,,,,,,,,
44 C.F.R. § 208 ,National Urban Search and Rescue Response System,eCFR,,Regulation,Title 44 of CFR,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/HTsn_evecUVhdwYybPOWAw/libdmY3x44bzpU-gPqW-DnorxaxIuvbs6cNr13WZ2HPuJuqU1ULuiRRhm6um7I4ARk9ZR-XV7PJGUOzubGnKuEKXL9twj10EfufTB_GHjlqYX1jsIVENtf56Yi43XRzWWQLsRI43cyEQJFkIJF40R0aswiiiwb56rPjOnH1LCS4Uetq3ITLxkCW6YDorUnPr/L2sEcJptTZ28UcF5VXqYTmlOIoK5V31bTHB2QoFHZVA),3/22/24,1/3/17,"Federal Emergency Management Agency,Department of Homeland Security","Presidential Emergency Declarations,Presidential Major Disaster Declaration","An ""emergency"" is any occasion where the president deems that federal assistance is necessary to supplement State and local efforts and capabilities to protect public health and safety. A ""major disaster"" is a natural catastrophe which ""causes damage of sufficient severity and magnitude to warrant major disaster assistance....,"" as further articulated by the regulations.",Domestic,Yes - Subject to Posse Comitatus,Include,Sets out funding for National US&R Response System,* § 208.12 - Maximum Pay Table,,,,,,,,
* § 208.2 - Definitions of terms used in this part,,,,,,,,,,,,,,,,,,,,,,,,,
* § 208.3 - Authority for the National US&R Response System,,,,,,,,,,,,,,,,,,,,,,,,,
* § 208.4 - Purpose for system,,,,,,,,,,,,,,,,,,,,,,,,,
* § 208.5 - Authority of the Assistant Administrator for the Disaster Operations Directorate,,,,,,,,,,,,,,,,,,,,,,,,,
* § 208.9 - Agreements between Sponsoring Agencies and Participating Agencies,,,,,,,,,,,,,,,,,,,,,,,,,
* § 208.11 - Federal status of System Members,,,,,,,,,,,,,,,,,,,,,,,,,
* § 208.22 - Preparedness Cooperative Agreement process,,,,,,,,,,,,,,,,,,,,,,,,,
* § 208.23 - Allowable costs under Preparedness Cooperative Agreements,,,,,,,,,,,,,,,,,,,,,,,,,
* § 208.37 - Reimbursement for equipment and supply costs incurred during Activation ,,,,,,,,,,,,,,,,,,,,,,,,,
"* § 208.38 - Reimbursement for re-supply and logistic costs incurred during activation ""","Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",Yes,No,,Yes,Sets out the rules and regulations for the National Urban Search and Rescue Response System,,Mission Assignment/Response Coordination,,,,,,,,,,,,,,,,,
Presidential Directive - 2020-17386,,Presidential Directive,,Presidential Directive,Presidential Directive 2020-17386,https://www.govinfo.gov/content/pkg/FR-2020-08-06/pdf/2020-17386.pdf,2020-17386.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/GYJXnrhU3AJmYbraFMfOqg/pcLQvpErfTxY7uhde9dT_4pdMO3IDrjMCkUrUrMMBFGpZOECyCxD2PYe4NKdGwqpe7MGS_ZyFeXf3OtiQUeSYiSVlSani9xsmvE_R55KlhFUFW-OyIPRn4guK0wQG8tO3rIYfrnGdSAB8XTiHuLaLOTTFwcm8nod28H9liNiovU/udDaEgSiVceF0u8RmAnHUTFogyNXvbBxhNvgJsixhNA),,8/6/20,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,COVID-19,,,,,,,,,,,,,
",Domestic,Yes,Include,,,,,,,Yes,This directive extends federal support to use the National Guard to respond to COVID-19 for economic recovery. It authorizes the National Guard to be used by state governors", and funds activities related to preventing and responding the public health threat. This directive specifically extends power to Florida.,,,,,,,,,,,,,,,,,,,,,,,,
",,""Troop", Uniformed Service," or National Guard Deployment""""""",,,,,,,,,,,,,,,,,,,,,,,
Presidential Directive - 2020-17371,,Presidential Directive,,Presidential Directive,Presidential Directive 2020-17371,https://www.govinfo.gov/content/pkg/FR-2020-08-06/pdf/2020-17371.pdf,2020-17371.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/W58GW6WNE5mWTVJ5mcOl5Q/hbGPzsyGjWcYmtOLsBjPInq1CxNJtCNCpeWpWcAZZrWPcJEftvnIYPYA3TFxn_nLqhYttUAb8X0Lup76Q_AFPNFr8cx84Z7wUmmivoCr5llng5aWDhSlKLhe76AzdySdSuoPSsBNhpG0Mp1Zfhnkc7Iayubu6hlL9HrZiPVJFQA/eYG-Q39IU9IsS2SYoHKJZMpUcsILcnjZ8v7yWv3HhIQ),,8/6/20,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,COVID-19,,,,,,,,,,,,,
",Domestic,Yes,Include,,,,,,,Yes,This directive extends federal support to use the National Guard to respond to COVID-19 for economic recovery. It authorizes the National Guard to be used by state governors", and funds activities related to preventing and responding the public health threat. This directive specifically extends power to Texas.,,,,,,,,,,,,,,,,,,,,,,,,
",,""Troop", Uniformed Service," or National Guard Deployment""""""",,,,,,,,,,,,,,,,,,,,,,,
Presidential Directive - 2020-17370,,Presidential Directive,,Presidential Directive,Presidential Directive - 2020-17370,https://www.govinfo.gov/content/pkg/FR-2020-08-06/pdf/2020-17370.pdf,2020-17370.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/2_EQdllmMZMwv9L9w8B4qg/pmqKitgJvnqKKRLfU3whmwXA7l6Zrj5jyQbz8Z4SpWh19WDzKNJSbTCp8I8cnTy3mrgTKp2509HT5keFlBHL744-7t0po8k_dp4uoqRxxenXpnHMC9KWYJVV9szQDakAGvEJgl99JXqGlswsP3cQRR5R4AaleGpn6MB7RCQwQEA/1lcgvT1JSRpPkY0nt3fVrahNQDjXDd_vAS6TKiwk24c),,8/6/20,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,COVID-19,,,,,,,,,,,,,
",Domestic,Yes,Include,,,,,,,Yes,This directive extends federal support to use the National Guard to respond to COVID-19 for economic recovery. It authorizes the National Guard to be used by state governors", and funds activities related to preventing and responding the public health threat. This directive specifically extends power to: Alabama, Alaska, Arizona, California, Colorado, Connecticut,,,,,,,,,,,,,,,,,,,
Delaware, Georgia, Hawaii, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Mississippi, Missouri,,,,,,,,,,,
Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico,,,,,,,,,,,,,,,,,,,,
New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Utah,,,,,,,,,,,,,,
Vermont, Virginia, Washington, West Virginia, Wisconsin, and the territories,,,,,,,,,,,,,,,,,,,,
of Guam, Puerto Rico, and the U.S. Virgin Islands ,,,,,,,,,,,,,,,,,,,,,,,
",has different termination dates depending on percent federal cost share termination",,,,,,,,,,,,,,,,,,,,,,,,,
",""Troop", Uniformed Service," or National Guard Deployment""""""",,,,,,,,,,,,,,,,,,,,,,,
Presidential Directive - 2020-17788,,Presidential Directive,,Presidential Directive,Presidential Directive - 2020-17788,https://www.govinfo.gov/content/pkg/FR-2020-08-12/pdf/2020-17788.pdf,2020-17788.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/XKrBS4gXNqMH8zOR0tjSww/jwsQc9c8do4IvMUtK6qwIXYkS752WG9ZGwPtAAYGcR5_tfIwM-Xyqfu3jO7qWFyxS5hqxANDsxLqHymPVOzldUdYimqJX86Sn0ftL_MHpmSisacLK_F9zRIU9RhbpRJm1K3NE68NiuU8iHR2pr73IDHGUpBcDiy90p4GcU_TiZY/i9ItZesZIxN6K3nzgzDn84Fa5_Qcp2PA4MT0hPvH_Kc),,8/12/20,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,COVID-19,,,,,,,,,,,,,
",Domestic,Yes,Include,,,,,,,Yes,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of Connecticut.,,""Troop", Uniformed Service," or National Guard Deployment""""","Appropriations - Emergency Response""",,,,,,,,,,,,,,,,,,,,,,
Presidential Directive - 2020-17786,,Presidential Directive,,Presidential Directive,Presidential Directive 2020-17786,https://www.govinfo.gov/content/pkg/FR-2020-08-12/pdf/2020-17786.pdf,2020-17786.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/KJ9r0Nss_LXR95aGfDBYdQ/C5UtZ-IEDPXIzBjthfoG3fh5ieuxi5d56Iw1scmqLMgPXbwcb7DeebQR27J8AFxXeY7wPV2Ng9WSyO_TTwaSnRW7QAT_pbs1OmWEAKR-S2-lhe5vJdZxRdHnYbZjOAlF9dcX3bI0cGkv35gwbSX-hbiFxDBE-pWNMJ04PQSnXK0/UH2NbxW5-MRZocAz-awiYQ1B-zz512USVfdEJUuwupA),,8/12/20,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,COVID-19,,,,,,,,,,,,,
",Domestic,Yes,Include,,,,,,,Yes,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of California.,,""Troop", Uniformed Service," or National Guard Deployment""""","Appropriations - Emergency Response""",,,,,,,,,,,,,,,,,,,,,,
Presidential Directive - 2020-17784,,Presidential Directive,,Presidential Directive,Presidential Directive - 2020-17784,https://www.govinfo.gov/content/pkg/FR-2020-08-12/pdf/2020-17784.pdf,2020-17784.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/uRR3fgbRV5RoVk1Nsduw3Q/CrlfOfBn7ATQTSu56_C-hoZQ3zgXkemvdtikrMarUlGrY8By4QEE9jJa41Yl0_avDv-X7gTIxzn_wErYuVSgP_FFUD0z09Rx9MA0hlK1gwGatnu9buyRXzC_I7nGohLIhrTDeBPglKgftgcCXXW2mUnjjiebpYOLHpXa4vfBxBc/f_rbysLMDlsRAK9aoIbvI81nQC9oFBX5eSWOo7Zj3H0),,8/12/20,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,COVID-19,,,,,,,,,,,,,
",Domestic,Yes,Include,,,,,,,Yes,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of Arizona.,,""Troop", Uniformed Service," or National Guard Deployment""""","Appropriations - Emergency Response""",,,,,,,,,,,,,,,,,,,,,,
Presidential Directive - 2020-19599,,Presidential Directive,,Presidential Directive,Presidential Directive - 2020-19599,https://www.govinfo.gov/content/pkg/FR-2020-09-02/pdf/2020-19599.pdf,2020-19599.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/mfohFEWEz4xbrdAOw1OIdA/Ix9H-71Bb-SSZLxeUzdRwCHYdFiQPGTrilJY8gxdwiD7N057r0qj6t_H4KQyNHNasIEmW16R5c0S7SjzLs6Rjd6ib-3N_bjxVLg5Dy7s9H-wtrTOiXWwz6-0ZQrcu6Op33Rfg8hj1c9gLFQHb87EFeyXf62wgj7vDziu1b16bxU/MUsFe6Wb9DXgR9h2B_ahkWJ4IXFlxCph0la5nXJrSNU),,9/2/20,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,COVID-19,,,,,,,,,,,,,
",Domestic,Yes,Include,,,,,,,Yes,This directive funds the National Guard by an additional 25% to support its economic recovery efforts during the COVID-19 pandemic. This directive is specific to the state of Louisiana.,,""Troop", Uniformed Service," or National Guard Deployment""""","Appropriations - Emergency Response""",,,,,,,,,,,,,,,,,,,,,,
Presidential Directive - 2020-08958,,Presidential Directive,,Presidential Directive,Presidential Directive 2020-08958,https://www.govinfo.gov/content/pkg/FR-2020-04-24/pdf/2020-08958.pdf,2020-08958.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/sX5LB7TcRJ-LVsXBefYAiQ/NQCFZgew3pV4-CYYG6UQTw_8rCRywd5qRSzQCwiRb6ue083CkDVBABWtmWHWE4Amthp_0Vo9luxTjt0VetCOAcsv9L4hw0ICEeqbvZa1BgSR2Wazuccx9REvQ3-tOqWnLutuV4mNmwROz_YD5E20zJvF8kFBugIqzxCLCPwr2iQ/3HVeKPeX3I6oaejxAMS7B7KRFjw95SO5rDg0qm7_u7M),,4/24/20,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,COVID-19,,,,,,,,,,,,,
",Domestic,Yes,Include,,,,,,,Yes,This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to Alabama", Alaska," and Delaware. """,,"""Troop or Uniformed Service or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",,,,,,,,,,,,,,,,,,,,,
Presidential Directive 2020-09540,,Presidential Directive,,Presidential Directive,Presidential Directive 2020-09540,https://www.govinfo.gov/content/pkg/FR-2020-05-01/pdf/2020-09540.pdf,2020-09540.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/5AuF3TQZr3xG2OwR2gOCbQ/Om-XViN7VrEHvb8Uzw1ycRLApZOBd4-1ubsct3nqYVnvU0FPFfhS3DGh3mEuLWomp8yWamohkNfqTyBfQlAxrJwygLaL1jBTOz8KG9pEtDJ4skXpr0cDA1hnMdDU70tJeQug7d7wKdorbmZwCIRaRd0V-USiUdf6gCSo0ItLVYQ/i9F0-iD6Ft_LUYBjHzVpCe9kIvpIQsKXb50QLR8NnPw),,5/1/20,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,COVID-19,,,,,,,,,,,,,
",Domestic,Yes,Include,,,,,,,Yes,This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to North Dakota. ,,""Troop", Uniformed Service," or National Guard Deployment""""",Appropriations - Emergency Response,"Federal-State Coordination""",,,,,,,,,,,,,,,,,,,,,
Presidential Directive 2020-10437,,Presidential Directive,,Presidential Directive,Presidential Directive 2020-10437,https://www.govinfo.gov/content/pkg/FR-2020-05-13/pdf/2020-10437.pdf,2020-10437.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/egMtzto6Zd3-MmADx2g7Lw/N57wExYm-JGtEEpLCUPNOvtezycjM0Fxi9Ixp3khtlSlT76n5OQ3zmolrQzxBOIQn-28S2FkRUvixWMOmpzgFidxJ3XO24kMquVF0iUGKnELnQrvIrOh0gln5g-kLbyHtF6qMqlewtOTpZVuzt0-pYCIbfrEhEsSqUMN0yh27CQ/cpb2F8eQvhxbu1D77mx_5thdiW5ixBz10gh_y6rdkjc),,5/13/20,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,COVID-19,,,,,,,,,,,,,
",Domestic,Yes,Include,,,,,,,Yes,This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to South Dakota. ,,""Troop", Uniformed Service," or National Guard Deployment""""",Appropriations - Emergency Response,"Federal-State Coordination""",,,,,,,,,,,,,,,,,,,,,
Presidential Directive 2020-11427,,Presidential Directive,,Presidential Directive,Presidential Directive 2020-11427,https://www.govinfo.gov/content/pkg/FR-2020-05-26/pdf/2020-11427.pdf,2020-11427.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/L8EXFYRDKQ2rT8pk-Og5OA/gZvvzgU14-VMkEgqRXchPRRLF1obSVrwyAl5uv6fWT_vsKrCFhIv2vgp34DuhVSq3FE7rnMXlVheT29KFQ14sFRMOIdtc0fSyPsEhxgP_pmilq3gF616TMI7LoVXFkYjzZ154Yx2aSC_P1LXqQn_VwvpFakpsk4rvEYBqYxOPAs/i9quuhN8kWFz7FFPnGQZfcpgAlHQQoPQzIafY08cyZ0),,5/26/20,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,COVID-19,,,,,,,,,,,,,
",Domestic,Yes,Include,,,,,,,Yes,This directive addresses the federal support for governor's to use the National Guard in response to COVID-19. It extends the 100% federal cost share for the National Guard to Utah. ,,""Troop", Uniformed Service," or National Guard Deployment""""",Appropriations - Emergency Response,"Federal-State Coordination""",,,,,,,,,,,,,,,,,,,,,
Presidential Directive 2020-12431,,Presidential Directive,,Presidential Directive,Presidential Directive - 2020-12431,https://www.govinfo.gov/content/pkg/FR-2020-06-05/pdf/2020-12431.pdf,2020-12431.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/7IYolhX0APJpymXuyOBNcw/pMSD_WFV-TeaLnL8r_1rBrG-eI--oFAsyQNGNfMTkkeP0SrBZDwLEmbfpPhSJ4XDKM3Mk7kdQTooxlXK1JXF1KbkBhkuqqjYTvynCs9vj9fSKM5E_ig7VTBvgZg-RAa8fQ0WIA2hBSipl9RTzNLGdA22pg7_lhs6k5fFuAdaL3U/TLbiu3pVIzY1cp32P4GJM2a9ZqUELJTIFf-TZ_Ebn1s),,6/5/20,"Federal Emergency Management Agency,Department of Homeland Security,Department of Defense,Department of Health and Human Services",Health Emergency,COVID-19,,,,,,,,,,,,,
",Domestic,Yes,Include,,,,,,,Yes,The memorandum authorizes the continuation of 100% federal cost-sharing for National Guard activities related to COVID-19 response efforts in most states and territories. It also specifies that for certain states (Florida and Texas)"," the federal government will cover 75% of the costs. """,,"""Troop or Uniformed Service or National Guard Deployment"",Appropriations - Emergency Response,Federal-State Coordination",,,,,,,,,,,,,,,,,,,,,,
"42 U.S.C. 3149, 5121, 5122, 5133, 5149, 5152, 5154, 5155, 5165, 5165b, 5170, 5170a, 5170b, 5170c, 5172, 5174, 5187, 5189a, 5189f, 5189g, 5191 and 5205",Disaster Recovery Reform Act of 2018,FEMA DOLR,5,Legislation,Disaster Recovery Reform Act (DRRA),,BILLS-115s3041is (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/p4AbUf6uXxKJ_VbFjU6JLw/iNNRbiTbPJSKASho1rEYyvnQRxkn-ZnhHw2JhlSp8yAVm5VYu7HdURzgvTjKYafeery-ZrGYgp8Fjqpp9iWyKtaunMBb-FzIKLXHTaZ7yJPbPlPQ1Ev8yaJnRr1TIXdZIv9_gpIntH_TcBBPrB175A/J9IKQ3kRlvc7ZfPzlgWuxIOiy4qlFyNWihXUlTd8Zz8),,6/11/18,"Federal Emergency Management Agency,Department of Homeland Security,Department of Housing and Urban Development,Environmental Protection Agency",No triggering event - Capacity Building,N/A,Domestic,No,,,,,,,,Yes,This act established the Building Resilient Infrastructure and Communities disaster mitigation program. It authorized FEMA to provide grants to states/local governments for housing programs after major disasters.,,"Financial Assistance to states or Tribal Nations,Appropriations - Emergency Response"
44 C.F.R. §§ 206.31 – 206.67,The Declaration Process and Emergency Assistance ,FEMA DOLR,5,Regulation, Federal Disaster Assistance,https://www.govinfo.gov/app/details/CFR-2023-title44-vol1/CFR-2023-title44-vol1-part206,CFR-2023-title44-vol1-part206.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/Ub-42hG9mt4euFV13NkNcg/tuILMaWaNu4fSrRFfByswlzCyuQV13T8vK6dcAGvZC9DH4_jzwa6fAatWdOKYdTT8uNtFQxMADgOASobZDUZYj6T-XZPaSfwNPKeq2yTgRmSo7BFh2GBSucn4IO7iQcBjcygLyawJ5Ybvm9zlVyH7g/3fKkdDwaDAxWyLDP0DfKXxCvhFiG9EONkknKvIxlhYU),10/1/23,3/21/89,"Federal Emergency Management Agency,Executive Office of the President of the United States","Natural Disaster,Health Emergency","Any health crisis that overwhelms the capacity of local and state health departments and emergency management agencies, requires resources beyond what the state can provide, or",,,,,,,,,,,,,
"meets the criteria for either an emergency declaration or a major disaster declaration under the Stafford Act.""",Domestic,No,Include,,,,,,,Yes,"This section describes the process for requesting Presidential emergency declarations. It outlines preliminary damage assessment, procedures for requesting DOD resources, and procedures for Governors to request emergency declarations. It describes how FEMA processes declaration requests and how affected states are notified. It also covers federal cost-share arrangements. ",,Emergency Declaration,,,,,,,,,,,,
44 C.F.R. §§ 206.31–206.47,Stafford Act,Parallel Table U.S.C.,,Regulation,Stafford Act,https://www.govinfo.gov/content/pkg/COMPS-2977/pdf/COMPS-2977.pdf,COMPS-2977.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/ta1nPp4ttgvQVMFJWadwxQ/pH1fj4iWoSEq4RX_DkdEBG8y2FDvyuqqW0th65IETn6bgf6-5NH75sgsMk-cthc6Tfcv0UqSVWG4-zEUdH466lrkIYV8t6d6DQraXpW7N3Has9VHm3RoVti_06e6ezwNZ7LIxSTY9qopwCrLO3wCq792nxupH5ZB60Z697rTI7k/TCgV9B0Z0HNTt_B8kXy3DBVZpqJbOLCjshPNguq189w),3/18/24,5/22/74,"Federal Emergency Management Agency,Executive Office of the President of the United States","Natural Disaster,Health Emergency,Act of War,Terrorism","Defines the parameters for ""requests for emergency declarations"" and ""requests for major disaster declarations""",Domestic,Yes - Subject to Posse Comitatus,Include,* Loans of non-Federal share; cost-share adjustments; triggers all other eligible assistance,* 44 C.F.R. § 206.48 - Factors considered when evaluating a Governor's request for a major disaster declaration,,,,,,,,
* 44 C.F.R. § 206.35 - Requests for emergency declarations,,,,,,,,,,,,,,,,,,,,,,,,,
* 44 C.F.R. § 206.36 - Requests for major disaster declarations ,,,,,,,,,,,,,,,,,,,,,,,,,
* 44 C.F.R. § 206.34 - Request for utilization of Department of Defense (DOD) resources,,,,,,,,,,,,,,,,,,,,,,,,,
",Scenario 2",Scenario 3a,Scenario 3b,Scenario 3c,"Scenario 1""",Yes,Yes,,"Yes,Indian Tribal Government trigger",Federal Disaster Assistance - Declaration process,,Emergency Declaration,,,,,,,,,,,,,,
44 C.F.R. § 312,FEMA - Preparedness,eCFR,,Regulation,Title 44 of CFR,https://www.govinfo.gov/content/pkg/CFR-2002-title44-vol1/pdf/CFR-2002-title44-vol1-chapI.pdf,CFR-2002-title44-vol1-chapI.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/HTsn_evecUVhdwYybPOWAw/libdmY3x44bzpU-gPqW-DnorxaxIuvbs6cNr13WZ2HPuJuqU1ULuiRRhm6um7I4ARk9ZR-XV7PJGUOzubGnKuEKXL9twj10EfufTB_GHjlqYX1jsIVENtf56Yi43XRzWWQLsRI43cyEQJFkIJF40R0aswiiiwb56rPjOnH1LCS4Uetq3ITLxkCW6YDorUnPr/L2sEcJptTZ28UcF5VXqYTmlOIoK5V31bTHB2QoFHZVA),3/22/24,1/3/17,"Federal Emergency Management Agency,Department of Defense","Presidential Major Disaster Declaration,Presidential Emergency Declarations","Describes the conditions under which the military may be used in response to natural disasters, in such a way that does not detract from attack-related civil defense preparedness.",Domestic,Yes - Subject to Posse Comitatus,Include,,* § 312.1: Purpose,,,,,,,,
* 312.3: Policy,,,,,,,,,,,,,,,,,,,,,,,,,
* § 312.4: General,,,,,,,,,,,,,,,,,,,,,,,,,
* § 312.5: Personnel,,,,,,,,,,,,,,,,,,,,,,,,,
"* § 312.6: Materials and facilities""","Scenario 3d,Scenario 3a,Scenario 3b,Scenario 3c",No,No,,Yes,"Use of Civil Defense Personnel, Materials, and Facilities for Natural Disaster Purposes",,"""Troop or Uniformed Service or National Guard Deployment""",,,,,,,,,,,,,,,,,
44 C.F.R. § 323,FEMA - Preparedness,eCFR,,Regulation,44 CFR 323,https://www.ecfr.gov/current/title-44/chapter-I/subchapter-F/part-323,44 CFR Part 323 (up to date as of 9-10-2024).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1726675200000/LG1nhIG02yJ0PJH49XyNow/Ceak6jwATdpILCaUMMQgvkSXFIiotMdrvgbSP_KlR1FkZLxnJqKNA3HBO7K9Cakrptv6nLHfUf8hiy8LpqWX5j5ngSQmKqjU7saqnl-aSSuT-xx8j0wLH425kke_bkRwNdrslC9iktPNWIl2cPCpitGnh6MI3APcpn6essdEmruuLNmMRvfYobcQsUqCziO-/lu8GgLkNPWFtZiJWHoTHITrKCrM9UHprm8yXR5_aIio),1/3/17,7/1/80,"Federal Emergency Management Agency,Department of Defense","Act of War,Terrorism,Presidential Major Disaster Declaration",Requires a nuclear attack on the United States,,,,,,,,,,,,,
",Domestic,Yes - Subject to Posse Comitatus,Include,,* § 323.2: General policy (resources will be directed to the objective of national survival and recovery) ",,,,,,,,,,,,,,,,,,,,,,,,,
* § 323.4: Priority activities in immediate post attack period,,,,,,,,,,,,,,,,,,,,,,,,,
* § 323.3 Responsibilities ,,,,,,,,,,,,,,,,,,,,,,,,,
"* § 323.5: Assignment of Resources""","Scenario 3a,Scenario 3b,Scenario 3c",No,Yes,,Not applicable,Guidance on Priority Use of Resources in Immediate Post Attack Period,,"""Troop or Uniformed Service or National Guard Deployment"",Provision of Supplies",,,,,,,,,,,,,,,,,
